Category,No,Title,Company,Location,Publication Date,Technology Stack,Salary,Experience,Contract Type,URL,Description
Analista De Datos,36,Analista de Seguridad Dynamics 365 CRM (Remoto),Digital Talent Agency,100% remoto,29/05/2026,"Dynamics 365, Dataverse, Power Automate",36.000€ - 48.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/analista-seguridad-dynamics-365-crm-remoto-digital/dynamics-365-dataverse/rf-410b15f602e7f3038648,Descripción – Analista de Seguridad Dynamics 365 CRM (Remoto) Sector: Banca Modalidad de trabajo: 100% remoto Experiencia requerida: 2 años Descripción del puesto ... Dynamics 365 Dataverse Power Automate
Analista De Datos,37,Analista de Ciberseguridad,Serem,Madrid,29/05/2026,"Ciberseguridad, ISO 27001",Not specified,2+ years,Permanent,https://www.tecnoempleo.com/analista-ciberseguridad-serem/iso-27001/rf-0fb21d8c529d8318fe40,"Desde Serem, nos encontramos en la búsqueda de un ANALISTA DE SEGURIDAD JUNIOR con al meno 1-2 años de experiencia para importante proyecto de control de accesos y ... Ciberseguridad ISO 27001"
Analista De Datos,38,Analista desarrollo Automatización,Page Personnel,Barcelona,29/05/2026,"PLC, SCADA, Siemens",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-desarrollo-automatizacion-page-personnel/plc-scada/rf-cd0b1fda0278537acb4c,"Las funciones del Analista desarrollo Automatización y Control - SCADA serán: • Desarrollo y programación y mantenimiento de estándares de PLCs (Siemens TIA Portal, ... PLC SCADA Siemens"
Analista De Datos,39,Analista Funcional - Riesgo de Crédito y Capital,Cajamar Tecnología,Almería,29/05/2026,"R, Python, SQL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-funcional-riesgo-credito-capital-cajamar-/python-sql/rf-fcd71bf3d234739f244b,"Analista Funcional - Riesgo de Crédito y Capital En Cajamar Tecnología, necesitamos incorporar a una persona en la oficina Risk & Financial. Cajamar Tecnología es una ... R Python SQL"
Analista De Datos,40,Analista Funcional BackOffice - Tolling,CMV Consultores,100% remoto,28/05/2026,"microservicios, cloud, API",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-funcional-backoffice-tolling-cmv-consulto/microservicios-cloud/rf-ac2019f2c2f6038fd54e,"Buscamos un/a Analista Funcional BackOffice para incorporarse a un proyecto internacional del sector movilidad, participando en entornos tecnológicos modernos basados en ... microservicios cloud API"
Analista De Datos,41,"Analista Programador IA, BI",Incoming Domain,Madrid,28/05/2026,"AWS, IAM, EC2",21.000€ - 30.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/analista-programador-ia-bi-incoming-domain/aws-iam/rf-3554168932dd533d184d,TELETRABAJO para Desarrolladores con mas de tres años de experiencia. * DEVOPS CYBERSECURITY : 1.-BACKEND DEVELOPMENT : Especialista CiverSeguridad en el Area de ... AWS IAM EC2
Analista De Datos,42,Analista SISNET,Digital Talent Agency,100% remoto,28/05/2026,sisnet,Not specified,3+ years,Permanent,https://www.tecnoempleo.com/analista-sisnet-digital-talent-agency/sisnet/rf-c3b31009221eb3d1ce40,"Descripción Analista SISNET - 100% REMOTO 💻 ¡Hola! En Zemsania, empresa líder en consultoría de TI y servicios tecnológicos, buscamos un Analista SISNET con ... sisnet"
Analista De Datos,43,Analista Programador/a Java,Baoss,Madrid,27/05/2026,"Java, Spring, Oracle",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-programador-java-baoss/spring-oracle/rf-3caf1cf5d25f239e1348,Buscamos Analista Programador/a Java con experiencia en desarrollo backend y conocimientos frontend para participar en proyectos tecnológicos de gran envergadura. Funciones... Java Spring Oracle
Analista De Datos,44,Analista - Programador/a,Alcampo,Zaragoza,27/05/2026,"Java, Python, Google Cloud Platform",Not specified,3+ years,Permanent,https://www.tecnoempleo.com/analista-programador-a-alcampo/java-python/rf-5d531fdf521063720e44,"Si eres la persona seleccionada, tu misión será colaborar en el desarrollo y mantenimiento de aplicaciones y sistemas en el área de Data IT, ya sea en nuevos proyectos o ... Java Python Google Cloud Platform"
Analista De Datos,45,Analista Hub Digitalización/Diseño de procesos,Cajamar Tecnología,Almería,27/05/2026,"Power BI, SQL, RPA",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-hub-digitalizacion-diseno-procesos-cajama/power-bi-sql/rf-1ac31f35e2e8035b1942,"En Cajamar Tecnología, necesitamos incorporar a una persona en la oficina de Automatización en Almería, Madrid, Granada, Valencia, Sevilla. ¿Quiénes somos? Cajamar ... Power BI SQL RPA"
Analista De Datos,46,Analista Programador OBIEE,Baoss,100% remoto,27/05/2026,"OBIEE, ODI",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/analista-programador-obiee-baoss/odi/rf-a0ff141c124f0399f040,"Descripción del puesto Buscamos un/a Analista Programador con experiencia en OBIEE / ODI para incorporarse a un proyecto tecnológico en entorno BI, participando en el ... OBIEE ODI"
